"event_id";"event_image";"event_name";"phone";"email";"address";"eventcost";"uname";"uid";"status";"date";"eventdate"
1;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"sdp apartments";6000.0;"Abd";2;"cancelled";"2024-09-18 23:03:14";"2024-09-26"
2;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"sdp apartments";6000.0;"Abd";2;"cancelled";"2024-09-18 23:56:03";"2024-10-12"
3;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"sdp apartments";6000.0;"Abd";2;"cancelled";"2024-09-18 23:56:24";"2024-07-16"
4;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"sdp apartments";6000.0;"Abd";2;"cancelled";"2024-09-18 23:58:22";"2024-09-18"
5;"birthdayparty.jpg";"Birthday";1717171717;"abd@gmail.com";"sdp apartments";5000.0;"Abd";2;"booked";"2024-09-19 00:17:08";"2024-10-11"
6;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"sdp apartments";6000.0;"Abd";2;"cancelled";"2024-09-19 00:21:59";"2025-01-15"
7;"birthdayparty.jpg";"Birthday";1717171717;"abd@gmail.com";"sdp apartments";5000.0;"Abd";2;"booked";"2024-09-19 06:50:02";"2024-10-09"
8;"logowedding.jpg";"Wedding";1717171717;"abd@gmail.com";"#908, 3rd main  AECS layout Marathahalli";6000.0;"Abd";2;"cancelled";"2024-09-25 21:45:50";"2024-11-21"
9;"party.jpg""";"naming ceremony";1717171717;"abd@gmail.com";"#908, 3rd main  AECS layout Marathahalli";2000.0;"Abd";2;"booked";"2024-09-25 23:26:25";"2025-02-20"
10;"party.jpg""";"naming ceremony";1717171717;"abd@gmail.com";"";2000.0;"Abd";2;"cancelled";"2024-09-26 06:41:02";"2024-09-27"
11;"party.jpg""";"naming ceremony";1717171717;"abd@gmail.com";"sdp apartments";2000.0;"Abd";2;"booked";"2024-09-26 06:42:20";"2024-10-07"
12;"corporateparty.jpg";"Corpoate";1717171717;"abd@gmail.com";"#1 1st Main 1st Cross Behind Pavan Stores Siddapura Whitefield Main Road Bangalore-56066";7000.0;"Abd";2;"cancelled";"2024-11-23 08:49:33";"2024-12-04"
